Time_Index,solar_pv_sat,onshore_wind,battery,hydro,pumped_hydro
1,0,0.519415793,1,0.235548835,1
2,0,0.526650948,1,0.235548835,1
3,0,0.533886104,1,0.235548835,1
4,0,0.541121259,1,0.235548835,1
5,0,0.548356414,1,0.235548835,1
6,0,0.55559157,1,0.235548835,1
7,0,0.562826725,1,0.235548835,1
8,0,0.57006188,1,0.235548835,1
9,0,0.577297036,1,0.235548835,1
10,0,0.584532191,1,0.235548835,1
11,0,0.591767346,1,0.235548835,1
12,0,0.599002502,1,0.235548835,1
13,0,0.606237657,1,0.235548835,1
14,0,0.608778345,1,0.235548835,1
15,0,0.611319033,1,0.235548835,1
16,0,0.613859721,1,0.235548835,1
17,0,0.616400409,1,0.235548835,1
18,0,0.618941097,1,0.235548835,1
19,0,0.621481785,1,0.235548835,1
20,0,0.624022472,1,0.235548835,1
21,0,0.62656316,1,0.235548835,1
22,0,0.629103848,1,0.235548835,1
23,0,0.631644536,1,0.235548835,1
24,0,0.634185224,1,0.235548835,1
25,0,0.636725912,1,0.235548835,1
26,0,0.624791122,1,0.235548835,1
27,0,0.612856332,1,0.235548835,1
28,0,0.600921543,1,0.235548835,1
29,0,0.588986753,1,0.235548835,1
30,0,0.577051963,1,0.235548835,1
31,0,0.565117173,1,0.235548835,1
32,0,0.553182383,1,0.235548835,1
33,0,0.541247593,1,0.235548835,1
34,0,0.529312804,1,0.235548835,1
35,0,0.517378014,1,0.235548835,1
36,0,0.505443224,1,0.235548835,1
37,0,0.493508434,1,0.235548835,1
38,0,0.487244477,1,0.235548835,1
39,0,0.480980519,1,0.235548835,1
40,0,0.474716561,1,0.235548835,1
41,0,0.468452604,1,0.235548835,1
42,0,0.462188647,1,0.235548835,1
43,0,0.455924689,1,0.235548835,1
44,0,0.449660731,1,0.235548835,1
45,0,0.443396774,1,0.235548835,1
46,0,0.437132817,1,0.235548835,1
47,0,0.430868859,1,0.235548835,1
48,0,0.424604901,1,0.235548835,1
49,0,0.418340944,1,0.235548835,1
50,0,0.418732348,1,0.235548835,1
51,0,0.419123752,1,0.235548835,1
52,0,0.419515155,1,0.235548835,1
53,0,0.419906559,1,0.235548835,1
54,0,0.420297963,1,0.235548835,1
55,0,0.420689367,1,0.235548835,1
56,0,0.42108077,1,0.235548835,1
57,0,0.421472174,1,0.235548835,1
58,0,0.421863578,1,0.235548835,1
59,0,0.422254982,1,0.235548835,1
60,0,0.422646385,1,0.235548835,1
61,0,0.423037789,1,0.235548835,1
62,0,0.429888361,1,0.235548835,1
63,0,0.436738933,1,0.235548835,1
64,0,0.443589505,1,0.235548835,1
65,0,0.450440077,1,0.235548835,1
66,0,0.457290649,1,0.235548835,1
67,0,0.464141222,1,0.235548835,1
68,0,0.470991794,1,0.235548835,1
69,0,0.477842366,1,0.235548835,1
70,0,0.484692938,1,0.235548835,1
71,0,0.49154351,1,0.235548835,1
72,0,0.498394082,1,0.235548835,1
73,0,0.505244654,1,0.235548835,1
74,0,0.504733323,1,0.235548835,1
75,0,0.504221993,1,0.235548835,1
76,0,0.503710662,1,0.235548835,1
77,0,0.503199331,1,0.235548835,1
78,0,0.502688,1,0.235548835,1
79,0,0.50217667,1,0.235548835,1
80,0,0.501665339,1,0.235548835,1
81,0,0.501154008,1,0.235548835,1
82,0,0.500642677,1,0.235548835,1
83,0,0.500131347,1,0.235548835,1
84,0,0.499620016,1,0.235548835,1
85,0,0.499108685,1,0.235548835,1
86,0.042264401,0.492905699,1,0.235548835,1
87,0.084528802,0.486702712,1,0.235548835,1
88,0.126793204,0.480499726,1,0.235548835,1
89,0.169057605,0.47429674,1,0.235548835,1
90,0.211322006,0.468093753,1,0.235548835,1
91,0.253586407,0.461890767,1,0.235548835,1
92,0.293921755,0.455687781,1,0.235548835,1
93,0.334257103,0.449484794,1,0.235548835,1
94,0.374592451,0.443281808,1,0.235548835,1
95,0.414927799,0.437078822,1,0.235548835,1
96,0.455263147,0.430875835,1,0.235548835,1
97,0.495598495,0.424672849,1,0.235548835,1
98,0.517012505,0.427871715,1,0.235548835,1
99,0.538426514,0.431070581,1,0.235548835,1
100,0.559840524,0.434269447,1,0.235548835,1
101,0.581254534,0.437468313,1,0.235548835,1
102,0.602668543,0.440667179,1,0.235548835,1
103,0.624082553,0.443866046,1,0.235548835,1
104,0.632715025,0.447064912,1,0.235548835,1
105,0.641347497,0.450263778,1,0.235548835,1
106,0.649979969,0.453462644,1,0.235548835,1
107,0.658612441,0.45666151,1,0.235548835,1
108,0.667244913,0.459860376,1,0.235548835,1
109,0.675877385,0.463059242,1,0.235548835,1
110,0.684570279,0.456764644,1,0.235548835,1
111,0.693263173,0.450470046,1,0.235548835,1
112,0.701956067,0.444175448,1,0.235548835,1
113,0.710648961,0.43788085,1,0.235548835,1
114,0.719341855,0.431586252,1,0.235548835,1
115,0.728034749,0.425291654,1,0.235548835,1
116,0.726683828,0.418997056,1,0.235548835,1
117,0.725332907,0.412702458,1,0.235548835,1
