Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,LDS
onshore_wind,1,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,86241,0,0,43000,0,0,3.55,0,7.43,None,0,0,0,0,0,0,0.64,0,0,0,1,1,0,0,0,0,1,0.05,0.05,0,0,2,0,0,0,1,onshore_wind_turbine,0.93,1,1,SD,1,0
solar_pv_sat,1,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,39355,0,0,23000,0,0,0,0,9.13,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.05,0.15,0,0,7,0,0,0,1,solar,0.8,1,1,SD,1,0
hydro,1,0,0,0,0,1,0,0,0,1,0,0,0,6,-1,-1,0,0,0,97200,0,0,43205,0,0,0.1,0,9.12,None,0,0,0,0,0,1,1,830,0.5,0,1,1,0,0,0,0,1,0.05,0.15,0,0,6,0,0,0,1,hydro,0.8,1,1,SD,1,0
battery,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,11430,33541,0,4895,5622,0,0.15,0.15,0,None,0,0,0,0,0,1,1,0,0,0,0.92,0.92,1,10,0,0,1,0.05,0.15,0,0,12,0,0,1,1,battery_mid,0.95,1,1,SD,1,0
pumped_hydro,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,14288,41926,0,40113,0,0,0,0,0,None,0,0,0,0,0,1,1,200,0.5,0,0.8,0.8,0,200,0,0,1,0.05,0.15,0,0,,0,0,1,1,hydroelectric_pumped_storage,,1,1,SD,1,0
