region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,2.3193270083557403e8,0.0,1.1564228308959408e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4757498392516774e8,0.0,0.0,0.0,3.4757498392516774e8,3.475749839251681e8,-3.5762786865234375e-7
SD,solar_pv_sat,1,1,2,2.7557543118308455e8,0.0,1.6105285013876113e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.366282813218456e8,0.0,0.0,0.0,4.366282813218456e8,4.3662828132184565e8,-5.960464477539063e-8
SD,hydro,1,1,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,battery,1,1,4,4.224416418705006e7,1.2396426167960158e8,1.8091442143097993e7,2.077836317231806e7,1.1005562634915425e6,0.0,1.3002791392858454e6,0.0,-1.7230163242299994e11,-1.4232395531836682e11,0.0,-2.9770198038048183e10,0.0,0.0,0.0,-1.72094153356415e11,-1.720941533564151e11,9.1552734375e-5
SD,pumped_hydro,1,1,5,7.051826968769488e6,2.3022991546361775e9,1.9797727827425145e7,0.0,0.0,0.0,0.0,0.0,-1.0033540508224322e8,-3.667199515988862e10,0.0,3.890080846423864e10,0.0,0.0,0.0,2.2288133043500214e9,2.2288133043501287e9,-0.00010728836059570312
