BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t60,0.0,41.68284121,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.68284121
t61,0.0,42.15826168,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.15826168
t62,0.0,42.59845305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.59845305
t63,0.0,42.98576379,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98576379
t64,0.0,43.40171821,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.40171821
t65,0.0,43.79986164,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.79986164
t66,0.0,44.29098687,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.29098687
t67,0.0,44.89668683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.89668683
t68,0.0,45.49112713,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.49112713
t69,0.0,46.01638191,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.01638191
t70,0.0,46.64210993,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.64210993
t71,0.0,47.25224832,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.25224832
t72,0.0,47.9302502,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.9302502
t73,0.0,48.89028215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.89028215
t74,0.0,49.74448112,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.74448112
t75,0.0,50.41844524,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.41844524
t76,0.0,51.04613878,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.04613878
t77,0.0,51.53878857,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.53878857
t78,0.0,51.9569648,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.9569648
t79,0.0,52.58005351,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.58005351
t80,3.942167638122609,49.13273891187739,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.07490655
t81,7.884342278543051,45.485792901456946,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.37013518
t82,11.82650991666566,41.89614122333434,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.72265114
t83,15.76867755478827,38.22829954521173,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.9969771
t84,19.710852195208712,34.567060934791286,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.27791313
t85,23.65301983333132,31.37250095666868,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.02552079
t86,54.99418704,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.99418704
t87,54.52526598,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.52526598
t88,54.02285386,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.02285386
t89,53.37445575,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.37445575
t90,52.85517454,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.85517454
t91,52.37114708,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.37114708
t92,51.85130475,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.85130475
t93,51.17898993,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.17898993
t94,50.48199747,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.48199747
t95,49.84733663,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.84733663
t96,49.12454141,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.12454141
t97,48.66835276,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.66835276
t98,49.33032316,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.33032316
t99,49.72965308,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.72965308
t100,50.09901727,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.09901727
t101,50.22485879,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.22485879
t102,50.27578609,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.27578609
t103,50.49549074,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.49549074
t104,49.98885587,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.98885587
t105,49.38527316,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.38527316
t106,48.87775695,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.87775695
t107,48.47060627,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47060627
t108,48.1705389,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.1705389
t109,48.00267312,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.00267312
t110,47.10977384,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.10977384
t111,46.11243531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.11243531
t112,45.09130048,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.09130048
t113,44.0470703,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0470703
t114,43.07422899,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.07422899
t115,42.09257423,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.09257423
t116,41.55316822,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.55316822
t117,40.8110531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.8110531
