Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t84,0.0,19.710852195208712,0.0,34.567060934791286,0.0,54.27791313
t85,0.0,23.65301983333132,0.0,31.37250095666868,-0.0,55.02552079
t86,0.0,54.99418704,0.0,0.0,0.0,54.99418704
t87,0.0,54.52526598,0.0,0.0,0.0,54.52526598
t88,0.0,54.02285386,0.0,0.0,0.0,54.02285386
t89,0.0,53.37445575,0.0,0.0,0.0,53.37445575
t90,0.0,52.85517454,0.0,0.0,0.0,52.85517454
t91,0.0,52.37114708,0.0,0.0,0.0,52.37114708
t92,0.0,51.85130475,0.0,0.0,0.0,51.85130475
t93,0.0,51.17898993,0.0,0.0,0.0,51.17898993
t94,0.0,50.48199747,0.0,0.0,0.0,50.48199747
t95,0.0,49.84733663,0.0,0.0,0.0,49.84733663
t96,0.0,49.12454141,0.0,0.0,0.0,49.12454141
t97,0.0,48.66835276,0.0,0.0,0.0,48.66835276
t98,0.0,49.33032316,0.0,0.0,0.0,49.33032316
t99,0.0,49.72965308,0.0,0.0,0.0,49.72965308
t100,0.0,50.09901727,0.0,0.0,0.0,50.09901727
t101,0.0,50.22485879,0.0,0.0,0.0,50.22485879
t102,0.0,50.27578609,0.0,0.0,0.0,50.27578609
t103,0.0,50.49549074,0.0,0.0,0.0,50.49549074
t104,0.0,49.98885587,0.0,0.0,0.0,49.98885587
t105,0.0,49.38527316,0.0,0.0,0.0,49.38527316
t106,0.0,48.87775695,0.0,0.0,0.0,48.87775695
t107,0.0,48.47060627,0.0,0.0,0.0,48.47060627
t108,0.0,48.1705389,0.0,0.0,0.0,48.1705389
t109,0.0,48.00267312,0.0,0.0,0.0,48.00267312
t110,0.0,47.10977384,0.0,0.0,0.0,47.10977384
t111,0.0,46.11243531,0.0,0.0,0.0,46.11243531
t112,0.0,45.09130048,0.0,0.0,0.0,45.09130048
t113,0.0,44.0470703,0.0,0.0,0.0,44.0470703
t114,0.0,43.07422899,0.0,0.0,0.0,43.07422899
t115,0.0,42.09257423,0.0,0.0,0.0,42.09257423
t116,0.0,41.55316822,0.0,0.0,0.0,41.55316822
t117,0.0,40.8110531,0.0,0.0,0.0,40.8110531
t118,0.0,40.31791764,0.0,0.0,0.0,40.31791764
t119,0.0,39.79576919,0.0,0.0,0.0,39.79576919
t120,0.0,39.29168827,0.0,0.0,0.0,39.29168827
t121,0.0,38.81052229,0.0,0.0,0.0,38.81052229
t122,0.0,38.78011393,0.0,0.0,0.0,38.78011393
t123,0.0,38.68052005,0.0,0.0,0.0,38.68052005
t124,0.0,38.55580787,0.0,0.0,0.0,38.55580787
t125,0.0,38.52018512,0.0,0.0,0.0,38.52018512
t126,0.0,38.46164743,0.0,0.0,0.0,38.46164743
t127,0.0,38.41060117,0.0,0.0,0.0,38.41060117
t128,0.0,38.27848389,0.0,0.0,0.0,38.27848389
t129,0.0,38.08555387,0.0,0.0,0.0,38.08555387
t130,0.0,37.95828401,0.0,0.0,0.0,37.95828401
t131,0.0,37.82714906,0.0,0.0,0.0,37.82714906
t132,0.0,37.71848842,0.0,0.0,0.0,37.71848842
t133,0.0,37.59396355,0.0,0.0,0.0,37.59396355
t134,0.0,37.47409166,0.0,0.0,0.0,37.47409166
t135,0.0,37.28591561,0.0,0.0,0.0,37.28591561
t136,0.0,37.09906157,0.0,0.0,0.0,37.09906157
t137,0.0,36.93250315,0.0,0.0,0.0,36.93250315
t138,0.0,36.7302503,0.0,0.0,0.0,36.7302503
t139,0.0,36.52711612,0.0,0.0,0.0,36.52711612
t140,0.0,36.01027567,0.0,0.0,0.0,36.01027567
t141,0.0,35.43526654,0.0,0.0,0.0,35.43526654
t142,0.0,34.84659656,0.0,0.0,0.0,34.84659656
t143,0.0,34.30738224,0.0,0.0,0.0,34.30738224
t144,0.0,33.72101602,0.0,0.0,0.0,33.72101602
t145,0.0,33.26376669,0.0,0.0,0.0,33.26376669
t146,0.0,33.14534297,0.0,0.0,0.0,33.14534297
t147,0.0,32.92292065,0.0,0.0,0.0,32.92292065
t148,0.0,32.83710666,0.0,0.0,0.0,32.83710666
t149,0.0,32.5869524,0.0,0.0,0.0,32.5869524
t150,0.0,32.45181352,0.0,0.0,0.0,32.45181352
t151,0.0,32.33738622,0.0,0.0,0.0,32.33738622
t152,0.0,32.5101144,0.0,0.0,0.0,32.5101144
t153,0.0,32.61409774,0.0,0.0,0.0,32.61409774
t154,0.0,32.7617076,0.0,0.0,0.0,32.7617076
t155,0.0,33.08164989,0.0,0.0,0.0,33.08164989
t156,0.0,33.31786451,0.0,0.0,0.0,33.31786451
t157,0.0,33.59726497,0.0,0.0,0.0,33.59726497
t158,0.0,33.67292288,0.0,0.0,0.0,33.67292288
t159,0.0,33.74725878,0.0,0.0,0.0,33.74725878
t160,0.0,33.90488168,0.0,0.0,0.0,33.90488168
t161,0.0,34.00646711,0.0,0.0,0.0,34.00646711
t162,0.0,34.10190315,0.0,0.0,0.0,34.10190315
t163,0.0,34.24136636,0.0,0.0,0.0,34.24136636
t164,0.0,34.15730637,0.0,0.0,0.0,34.15730637
t165,0.0,34.01860307,0.0,0.0,0.0,34.01860307
t166,0.0,328.9693796854571,0.0,0.0,0.0,328.9693796854571
t167,0.0,33.81434004,0.0,0.0,0.0,33.81434004
t168,0.0,335.4721115176428,0.0,0.0,0.0,335.4721115176428
t169,0.0,335.2550203944795,0.0,0.0,0.0,335.2550203944795
t170,0.0,343.99805755424194,0.0,0.0,0.0,343.99805755424194
t171,0.0,352.74109521856263,0.0,0.0,0.0,352.74109521856263
t172,0.0,361.4645281099694,0.0,0.0,0.0,361.4645281099694
t173,0.0,370.21400581217085,0.0,0.0,0.0,370.21400581217085
t174,0.0,378.9603885691745,0.0,0.0,0.0,378.9603885691745
t175,0.0,387.66515417771734,0.0,0.0,0.0,387.66515417771734
t176,0.0,392.0204280202322,0.0,0.0,0.0,392.0204280202322
t177,0.0,396.34612309591796,0.0,0.0,0.0,396.34612309591796
t178,0.0,400.68066530357174,0.0,0.0,0.0,400.68066530357174
t179,0.0,405.1131501359417,0.0,0.0,0.0,405.1131501359417
t180,0.0,409.4298682915244,0.0,0.0,0.0,409.4298682915244
t181,0.0,413.78120637599056,0.0,0.0,0.0,413.78120637599056
t182,0.0,418.103702547063,0.0,0.0,0.0,418.103702547063
t183,0.0,422.48122896984245,0.0,0.0,0.0,422.48122896984245
t184,0.0,426.8143877683999,0.0,0.0,0.0,426.8143877683999
t185,0.0,431.17057737947215,0.0,0.0,0.0,431.17057737947215
t186,0.0,435.52745486566647,0.0,0.0,0.0,435.52745486566647
t187,0.0,439.868683388871,0.0,0.0,0.0,439.868683388871
t188,0.0,431.688961612474,0.0,0.0,0.0,431.688961612474
t189,0.0,423.49049515315033,0.0,0.0,0.0,423.49049515315033
t190,0.0,415.2614186188728,0.0,0.0,0.0,415.2614186188728
t191,0.0,407.04807441125644,0.0,0.0,0.0,407.04807441125644
t192,0.0,398.84917563973767,0.0,0.0,0.0,398.84917563973767
t193,0.0,390.6105519082188,0.0,0.0,0.0,390.6105519082188
t194,0.0,365.409294527759,0.0,0.0,0.0,365.409294527759
t195,0.0,340.20029904112596,0.0,0.0,0.0,340.20029904112596
t196,0.0,314.91512051725147,0.0,0.0,0.0,314.91512051725147
t197,0.0,289.6500861455721,0.0,0.0,0.0,289.6500861455721
t198,0.0,264.3907272833293,0.0,0.0,0.0,264.3907272833293
t199,0.0,239.08132475945487,0.0,0.0,0.0,239.08132475945487
t200,0.0,216.84888034861498,0.0,0.0,0.0,216.84888034861498
t201,0.0,194.59837887608063,0.0,0.0,0.0,194.59837887608063
t202,0.0,172.32672567005596,0.0,0.0,0.0,172.32672567005596
t203,0.0,150.04198777720194,0.0,0.0,0.0,150.04198777720194
t204,0.0,127.77100693686273,0.0,0.0,0.0,127.77100693686273
