Region,Resource,Zone,Cluster,AnnualSum
SD,onshore_wind,1,1,0.0
SD,solar_pv_sat,1,1,0.0
SD,solar_btm,1,1,0.0
SD,solar_btm_curt,1,1,0.0
SD,hydro,1,1,0.0
SD,battery4,1,1,-9.67998646005122e8
SD,battery8,1,1,-3.564400814021162e-6
SD,pumped_hydro,1,1,-8.013463433777906e-6
