325158,city??,CA,country??,2012,32.7200508118,-116.26385498,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2022-10-10,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
15.0,0.86,5.550,248.9,,,,,,
14.7,0.86,6.130,253.5,,,,,,
14.4,0.86,6.500,257.4,,,,,,
14.2,0.86,6.610,258.2,,,,,,
13.5,0.86,6.850,250.8,,,,,,
12.9,0.86,7.320,248.6,,,,,,
12.8,0.86,7.840,252.3,,,,,,
13.0,0.86,7.780,262.7,,,,,,
13.2,0.86,7.500,264.9,,,,,,
13.5,0.86,7.780,268.8,,,,,,
13.5,0.86,7.630,271.7,,,,,,
13.4,0.86,7.260,275.5,,,,,,
13.0,0.86,6.610,270.4,,,,,,
12.8,0.86,6.480,268.4,,,,,,
12.9,0.86,6.200,269.7,,,,,,
13.2,0.86,4.940,264.9,,,,,,
13.9,0.86,4.100,266.4,,,,,,
13.8,0.86,1.530,272.6,,,,,,
12.6,0.86,2.470,38.3,,,,,,
12.1,0.86,4.780,38.3,,,,,,
12.0,0.86,5.760,41.6,,,,,,
12.1,0.86,6.860,46.3,,,,,,
11.5,0.86,9.020,38.5,,,,,,
11.1,0.86,11.850,34.3,,,,,,
10.3,0.86,9.970,51.8,,,,,,
9.6,0.86,10.380,48.6,,,,,,
8.8,0.86,11.950,45.8,,,,,,
8.2,0.86,10.810,52.4,,,,,,
7.8,0.86,11.240,54.6,,,,,,
7.6,0.86,11.270,44.3,,,,,,
7.2,0.86,8.920,47.5,,,,,,
7.0,0.86,9.250,50.3,,,,,,
6.5,0.86,12.850,44.2,,,,,,
6.2,0.86,10.870,53.1,,,,,,
5.5,0.86,11.580,45.8,,,,,,
5.3,0.86,19.720,27.6,,,,,,
5.4,0.86,19.860,28.0,,,,,,
5.6,0.86,20.090,28.4,,,,,,
6.0,0.86,21.530,28.1,,,,,,
6.5,0.86,22.210,31.3,,,,,,
6.5,0.86,22.330,36.2,,,,,,
6.3,0.86,19.950,46.3,,,,,,
7.2,0.86,18.430,45.2,,,,,,
7.6,0.86,16.220,41.1,,,,,,
7.9,0.86,14.910,38.8,,,,,,
7.9,0.86,13.430,38.8,,,,,,
8.1,0.86,13.340,38.0,,,,,,
8.0,0.86,11.860,39.2,,,,,,
8.2,0.87,14.080,37.9,,,,,,
8.1,0.87,14.900,37.6,,,,,,
8.1,0.87,15.380,33.6,,,,,,
7.9,0.87,15.000,37.3,,,,,,
8.0,0.87,14.370,40.1,,,,,,
8.0,0.87,13.290,40.4,,,,,,
8.0,0.87,10.820,45.8,,,,,,
7.7,0.87,8.360,51.5,,,,,,
7.3,0.87,10.080,53.4,,,,,,
7.0,0.87,13.010,51.0,,,,,,
6.7,0.87,13.580,44.9,,,,,,
6.5,0.87,11.560,45.0,,,,,,
