,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,72872,-,-,-,32.85,-117.14,-8,130,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2012,1,1,17,0,0,0,0,1.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2012,1,1,17,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2012,1,1,18,0,0,0,0,1.9000000000000001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2012,1,1,18,30,0,0,0,1.9000000000000001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2012,1,1,19,0,0,0,0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2012,1,1,19,30,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2012,1,1,20,0,0,0,0,2.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2012,1,1,20,30,0,0,0,2.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2012,1,1,21,0,0,0,0,2.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2012,1,1,21,30,0,0,0,2.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2012,1,1,22,0,0,0,0,2.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2012,1,1,22,30,0,0,0,2.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2012,1,1,23,0,0,0,0,2.3000000000000003,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2012,1,1,23,30,0,0,0,2.3000000000000003,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2012,1,2,0,0,0,0,0,2.4000000000000004,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2012,1,2,0,30,0,0,0,2.4000000000000004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2012,1,2,1,0,0,0,0,2.4000000000000004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2012,1,2,1,30,0,0,0,2.3000000000000003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2012,1,2,2,0,0,0,0,2.3000000000000003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2012,1,2,2,30,0,0,0,2.3000000000000003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2012,1,2,3,0,0,0,0,2.3000000000000003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2012,1,2,3,30,0,0,0,2.3000000000000003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2012,1,2,4,0,0,0,0,2.4000000000000004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2012,1,2,4,30,0,0,0,2.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2012,1,2,5,0,0,0,0,2.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2012,1,2,5,30,0,0,0,2.8000000000000003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2012,1,2,6,0,0,0,0,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
