Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
t58,23.210800550000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.21080055
t59,23.418292440000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.41829244
t60,23.6843937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.6843937
t61,24.01439241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.01439241
t62,24.30431462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.30431462
t63,24.554135690000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.55413569
t64,24.83171911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.83171911
t65,25.164643069999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.16464307
t66,25.53414284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.53414284
t67,25.96269264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.96269264
t68,26.3768981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42.3768981
t69,26.78978153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42.78978153
t70,27.26964711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,43.26964711
t71,27.729075690000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,43.72907569
t72,28.250198339999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.25019834
t73,28.877522919999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.87752292
t74,29.44087837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,45.44087837
t75,29.931963600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,45.9319636
t76,30.25742247518345,0.0,0.0,0.0,0.0,0.0,0.10349160481655062,0.0,0.0,16.0,46.36091408
t77,30.22670730622072,0.0,0.0,0.0,0.0,0.0,0.4475030637792763,0.0,0.0,16.0,46.67421037
t78,30.195992137257992,0.0,0.0,0.0,0.8752421927420109,0.0,0.0,0.0,0.0,16.0,47.07123433
t79,30.165277028364315,0.0,0.0,0.0,0.0,0.0,1.3104727116356827,0.0,0.0,16.0,47.47574974
t80,30.134561859401586,0.0,0.0,0.0,0.0,0.0,1.718655610598411,0.0,0.0,16.0,47.85321747
t81,30.103846690438857,0.0,0.0,0.0,2.0188738795611414,0.0,0.0,0.0,0.0,16.0,48.12272057
t82,30.073131521476128,0.0,0.0,0.0,0.0,0.0,2.3975317685238693,0.0,0.0,16.0,48.47066329
t83,30.04241641258245,0.0,0.0,0.0,2.66230512741755,0.0,0.0,0.0,0.0,16.0,48.70472154
t84,30.011701243619726,0.0,0.0,0.0,0.0,0.0,2.983925226380272,0.0,0.0,16.0,48.99562647
t85,29.980986074656993,0.0,0.0,0.0,3.454933145343009,0.0,0.0,0.0,0.0,16.0,49.43591922
t86,15.676620533048713,17.33184975854128,0.6630126423699999,0.16766311603999998,0.0,0.0,0.0,0.0,0.0,16.0,49.83914605
t87,0.0,32.39241376318,1.3260252847399998,0.33532623207999995,0.0,0.0,0.0,0.0,0.0,16.0,50.05376528
t88,0.0,31.689104154769996,1.9890379271099998,0.50298934812,0.0,0.0,0.0,0.0,0.0,16.0,50.18113142999999
t89,0.0,30.96143408659,2.6520505373699996,0.6706524560399999,0.0,0.0,0.0,0.0,0.0,16.0,50.28413708
t90,0.0,63.18597099259658,3.31506317974,0.83831557208,0.0,0.0,0.0,0.0,0.0,16.0,83.33934974441658
t91,0.0,29.55941518977,3.97807582211,1.00597868812,0.0,0.0,0.0,0.0,0.0,16.0,50.5434697
t92,0.0,28.91004693331,4.588846618330001,1.16043084836,0.0,0.0,0.0,0.0,0.0,16.0,50.6593244
t93,0.0,28.18620517708,5.19961738244,1.3148830004799998,0.0,0.0,0.0,0.0,0.0,16.0,50.70070556
t94,0.0,27.578260130849994,5.810388146549999,1.4693351525999998,0.0,0.0,0.0,0.0,0.0,16.0,50.85798342999999
t95,0.0,66.17764312824602,6.42115894277,1.6237873128399998,0.0,0.0,0.0,0.0,0.0,16.0,90.22258938385602
t96,0.0,26.252155118159997,7.03192970688,1.7782394649599997,0.0,0.0,0.0,0.0,0.0,16.0,51.06232428999999
t97,0.0,25.695524891699996,7.6427005031,1.9326916252,0.0,0.0,0.0,0.0,0.0,16.0,51.27091702
t98,0.0,25.005019979080007,8.228990378439999,2.0809530324799996,0.0,0.0,0.0,0.0,0.0,16.0,51.31496339
t99,0.0,24.36915838623,8.815280285890001,2.22921444788,0.0,0.0,0.0,0.0,0.0,16.0,51.413653120000006
t100,0.0,67.51096397401139,9.40157016123,2.3774758551599997,0.0,0.0,0.0,0.0,0.0,16.0,95.29000999040139
t101,0.0,22.820421460760002,9.98786006868,2.5257372705599996,0.0,0.0,0.0,0.0,0.0,16.0,51.3340188
t102,0.0,21.908427468140005,10.57414994402,2.67399867784,0.0,0.0,0.0,0.0,0.0,16.0,51.15657609
t103,0.0,21.110126825290003,11.16043985147,2.8222600932399997,0.0,0.0,0.0,0.0,0.0,16.0,51.09282677
