Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t52,0.0,0.0,0.0,0.0,1264.5894705560734,0.0,1822.8402735292539,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0,1265.9598360200735,0.0,1822.8402735292539,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0,1267.3504898300735,0.0,1822.8402735292539,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0,1268.7614319920735,0.0,1822.8402735292539,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,1270.1926625000735,0.0,1822.8402735292539,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,1271.6441813600736,0.0,1822.8402735292539,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,1273.1159885660736,0.0,1822.8402735292539,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,1274.6080841240737,0.0,1822.8402735292539,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,1276.1204680280737,0.0,1822.8402735292539,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0,1277.6531402780736,0.0,1822.8402735292539,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0,1279.2233673260737,0.0,1822.8402735292539,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0,1280.8311491660736,0.0,1822.8402735292539,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0,1282.4764858040735,0.0,1822.8402735292539,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0,1284.1593772340734,0.0,1822.8402735292539,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0,1285.8798234560734,0.0,1822.8402735292539,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0,1287.6378244700734,0.0,1822.8402735292539,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0,1289.4333802820734,0.0,1822.8402735292539,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0,1291.2664908860734,0.0,1822.8402735292539,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0,1293.1371562880734,0.0,1822.8402735292539,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0,1295.0453764820734,0.0,1822.8402735292539,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0,1296.9911514680734,0.0,1822.8402735292539,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0,1298.9744812460735,0.0,1822.8402735292539,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0,1300.9749016520736,0.0,1822.8402735292539,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0,1302.9924126860737,0.0,1822.8402735292539,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0,1305.0270143420737,0.0,1822.7277826544532,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0,1307.0787066260737,0.0,1822.24136628078,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0,1308.2722473393317,0.0,1822.24136628078,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0,1310.3581208733317,0.0,1820.8169394203064,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0,1312.4610850293318,0.0,1818.948835495743,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0,1312.5622659337707,0.0,1818.948835495743,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0,1314.6994113397707,0.0,1816.3428227038692,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,1314.191342246353,0.0,1816.3428227038692,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,1316.362668902353,0.0,1813.0994257186733,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,1315.0961530410102,0.0,1813.0994257186733,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,1317.24278195101,0.0,1813.0994257186733,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,1319.34762248701,0.0,1813.0994257186733,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,1321.41067464301,0.0,1813.0994257186733,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,1323.43193842501,0.0,1813.0994257186733,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,1325.41141383301,0.0,1843.4057261323364,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,1327.34910086701,0.0,1843.4057261323364,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,1329.24499952101,0.0,1843.4057261323364,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,1331.09910979501,0.0,1843.4057261323364,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,1332.91143169501,0.0,1843.4057261323364,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,1334.68196522101,0.0,1879.539937481484,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,1336.4107103670099,0.0,1879.539937481484,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,1338.09766713901,0.0,1879.539937481484,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,1339.7547755430098,0.0,1879.539937481484,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,1341.3820355790099,0.0,1879.539937481484,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,1342.97944725301,0.0,1919.8591764426533,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,1344.54701055901,0.0,1919.8591764426533,0.0,0.0,0.0
