Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,2740.0705916380884,1568.7365916243934,1.6615995753313378e-5
solar_pv_sat,1,5.693051886235345e6,5421.14854679025,0.009990068866798981
solar_btm,1,777809.9918735257,32.11,0.230434690549977
solar_btm_curt,1,98721.55367994263,8.12,0.11565664771568474
hydro,1,3.648054190516695e-11,2.3725109748492994e-15,0.0
battery4,1,3.2067699056421197e6,536.7906157928314,0.0
battery8,1,3.2227941855928972e6,1549.994761449073,0.0
pumped_hydro,1,1.3716395536760788e-5,6.859720007854523e-10,0.0
