Period_Index,Rep_Period,Rep_Period_Index
1,5,2
2,4,1
3,4,1
4,4,1
5,5,2
6,5,2
7,4,1
8,5,2
9,4,1
10,4,1
11,5,2
12,5,2
13,5,2
14,19,3
15,19,3
16,19,3
17,19,3
18,19,3
19,19,3
20,19,3
21,19,3
22,19,3
23,25,4
24,19,3
25,25,4
26,25,4
27,31,6
28,31,6
29,25,4
30,30,5
31,31,6
32,31,6
33,31,6
34,31,6
35,31,6
36,31,6
37,31,6
38,38,7
39,31,6
40,19,3
41,4,1
42,5,2
43,4,1
44,5,2
45,4,1
46,5,2
47,5,2
48,48,8
49,5,2
50,4,1
51,4,1
52,5,2
