Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,204,51.6679707
,,,,,,,205,52.39534321
,,,,,,,206,52.6801542
,,,,,,,207,53.02225254
,,,,,,,208,53.33174116
,,,,,,,209,53.60180525
,,,,,,,210,53.86437791
,,,,,,,211,54.20891557
,,,,,,,212,54.61249436
,,,,,,,213,54.9808194
,,,,,,,214,55.40246575
,,,,,,,215,55.88111243
,,,,,,,216,56.34081021
,,,,,,,217,57.03318281
,,,,,,,218,57.65060654
,,,,,,,219,58.11776112
,,,,,,,220,58.43288385
,,,,,,,221,58.50200854
,,,,,,,222,58.41733869
,,,,,,,223,58.46266707
,,,,,,,224,58.39897887
,,,,,,,225,58.3405787
,,,,,,,226,58.38088908
,,,,,,,227,58.24054805
,,,,,,,228,58.10373244
,,,,,,,229,57.92329028
,,,,,,,230,57.72187387
,,,,,,,231,57.49093244
,,,,,,,232,57.36310825
,,,,,,,233,57.11186807
,,,,,,,234,56.94920295
,,,,,,,235,56.85528269
,,,,,,,236,56.60922392
,,,,,,,237,56.44953689
,,,,,,,238,56.29734127
,,,,,,,239,56.11371042
,,,,,,,240,55.91509671
,,,,,,,241,55.72133042
,,,,,,,242,55.54717981
,,,,,,,243,55.34658889
,,,,,,,244,55.14776067
,,,,,,,245,54.98648679
,,,,,,,246,54.79965392
,,,,,,,247,54.60268562
,,,,,,,248,54.3946106
,,,,,,,249,54.17948481
,,,,,,,250,53.92778327
,,,,,,,251,53.67520781
,,,,,,,252,53.39442934
,,,,,,,253,53.12114231
,,,,,,,254,52.82402181
,,,,,,,255,52.56259573
,,,,,,,256,52.31703383
,,,,,,,257,52.00505604
,,,,,,,258,51.63931627
,,,,,,,259,51.31764371
,,,,,,,260,51.00005901
,,,,,,,261,50.66000004
,,,,,,,262,50.23180668
,,,,,,,263,49.89816973
,,,,,,,264,49.47022898
,,,,,,,265,49.01893261
,,,,,,,266,48.65664802
,,,,,,,267,48.28995672
,,,,,,,268,47.92194341
,,,,,,,269,47.45376777
,,,,,,,270,47.05125227
,,,,,,,271,46.69809203
,,,,,,,272,46.31784651
,,,,,,,273,45.94861779
