Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,712.0341126465707,1252.247707894618,5.409102397637422e-6
solar_pv_sat,1,7.064620249290839e6,6491.51831847847,0.01035278470577115
solar_btm,1,3001.915953739934,40.23,0.000709844373197747
hydro,1,0.0,0.0,0.0
battery4,1,5.820951961277668e6,1062.673424252216,0.0
battery8,1,3.650317125913084e6,2087.4816823035044,0.0
pumped_hydro,1,0.0,0.0,0.0
