Region,Resource,Zone,Cluster,AnnualSum
SD,onshore_wind,1,1,1.0840304572263062e6
SD,solar_pv_sat,1,1,367548.39565074135
SD,solar_btm,1,1,-1.314038061755055e7
SD,solar_btm_curt,1,1,10605.654625440327
SD,hydro,1,1,1.946288159376226e6
SD,battery4,1,1,-6.276100415740983e6
SD,battery8,1,1,-1.5260449208738278
SD,pumped_hydro,1,1,-2.017955442144129e7
SD,geothermal,1,1,-3.015988910468737e6
