region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,1.22717877317147e6,0.0,355741.11303540954,0.0,0.0,0.0,0.0,0.0,0.0,755881.7336744032,0.0,827038.1234982077,0.0,0.0,0.0,1.5829198571726107e6,1.5829198862068795e6,-0.029034268809482455
SD,solar_pv_sat,1,1,2,1.0813382648029216e7,0.0,6.319598549223021e6,0.0,0.0,0.0,0.0,0.0,0.0,437108.26767147536,0.0,1.6695872916198738e7,0.0,0.0,0.0,1.7132981183870215e7,1.7132981197252236e7,-0.013382021337747574
SD,solar_btm,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.663989086803708e6,0.0,972632.1422546995,0.0,0.0,0.0,-5.691356944549009e6,0.0,-5.691356944549009e6
SD,solar_btm_curt,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235.65214853218,0.0,245959.91887599372,0.0,0.0,0.0,248195.5710245259,0.0,248195.5710245259
SD,hydro,1,1,5,583199.9999268089,0.0,259229.99996746687,0.0,523.4507882032441,0.0,0.0,0.0,0.0,4.21174043068529e6,0.0,3.363205946118112e6,0.0,0.0,0.0,7.574946376803402e6,842953.4506824791,6.731992926120923e6
SD,battery4,1,1,6,40072.08201914559,117590.51599717961,17161.228476265765,19710.02298488846,893.8683383453322,0.0,1056.0826303308402,0.0,-496263.96790246374,-301204.0520656578,0.0,1423.7770852277617,0.0,0.0,0.0,-299780.27498043,-299780.16745630815,-0.10752412187866867
SD,battery8,1,1,7,924520.3868123222,1.1123209711834379e7,395934.1464082517,1.864425181119611e6,31567.27583768154,0.0,37295.93080525237,0.0,-1.219925328643203e7,-3.8731679086451377e6,0.0,6.050867354883857e6,0.0,0.0,0.0,2.1776994462387194e6,2.1776993463854697e6,0.09985324973240495
SD,pumped_hydro,1,1,8,1.464790396307303e6,2.0966870460214312e6,4.112341627034914e6,0.0,213448.84472351038,0.0,333513.8198793963,0.0,-1.873459655294202e7,-1.1273756725790411e7,0.0,759941.86038091,0.0,0.0,0.0,-1.05138148654095e7,-1.0513814818975464e7,-0.04643403738737106
SD,geothermal,1,1,9,2.4988361539341707e7,0.0,1.0720707698625699e7,0.0,1.720711874265689e8,0.0,0.0,0.0,0.0,2.3622425988171846e7,0.0,1.8415783061530182e8,0.0,0.0,0.0,2.0778025660347366e8,2.077802566645363e8,-0.061062633991241455
