Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1737,0.0,0.0,0.0,1369.3670865229278,1369.3670865229278
t1738,0.0,0.0,0.0,6113.757691662722,6113.757691662722
t1739,0.0,0.0,0.0,3970.1834050101866,3970.1834050101866
t1740,0.0,0.0,0.0,4380.6940533359475,4380.6940533359475
t1741,0.0,0.0,0.0,5056.287219836474,5056.287219836474
t1742,0.0,0.0,0.0,3842.177033120473,3842.177033120473
t1743,0.0,0.0,0.0,5190.943960451875,5190.943960451875
t1744,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1745,0.0,0.0,0.0,2895.4650610463377,2895.4650610463377
t1746,0.0,0.0,0.0,0.0,0.0
t1747,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1748,0.0,0.0,0.0,3108.43323033077,3108.43323033077
t1749,0.0,0.0,0.0,4000.3905403596896,4000.3905403596896
t1750,0.0,0.0,0.0,8127.880404476268,8127.880404476268
t1751,0.0,0.0,0.0,4860.696604654789,4860.696604654789
t1752,0.0,0.0,0.0,4647.667090820723,4647.667090820723
t1753,0.0,0.0,0.0,6029.387721768364,6029.387721768364
t1754,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1755,0.0,0.0,0.0,6966.629674962345,6966.629674962345
t1756,0.0,0.0,0.0,6698.964035313066,6698.964035313066
t1757,0.0,0.0,0.0,5459.659772994926,5459.659772994926
t1758,0.0,0.0,0.0,1704.875418103112,1704.875418103112
t1759,0.0,0.0,0.0,0.0,0.0
t1760,0.0,0.0,0.0,0.0,0.0
t1761,0.0,0.0,0.0,0.0,0.0
t1762,0.0,0.0,0.0,0.0,0.0
t1763,0.0,0.0,0.0,2093.6499385852676,2093.6499385852676
t1764,0.0,0.0,0.0,3620.7853637142725,3620.7853637142725
t1765,0.0,0.0,0.0,3353.73057645422,3353.73057645422
t1766,0.0,0.0,0.0,895.8902511685451,895.8902511685451
t1767,0.0,0.0,0.0,0.0,0.0
t1768,0.0,0.0,0.0,0.0,0.0
t1769,0.0,0.0,0.0,0.0,0.0
t1770,0.0,0.0,0.0,0.0,0.0
t1771,0.0,0.0,0.0,0.0,0.0
t1772,0.0,0.0,0.0,5150.064432870925,5150.064432870925
t1773,0.0,0.0,0.0,0.0,0.0
t1774,0.0,0.0,0.0,0.0,0.0
t1775,0.0,0.0,0.0,0.0,0.0
t1776,0.0,0.0,0.0,3251.3625126901998,3251.3625126901998
t1777,0.0,0.0,0.0,6437.473234262086,6437.473234262086
t1778,0.0,0.0,0.0,2247.8213920875814,2247.8213920875814
t1779,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1780,0.0,0.0,0.0,374.307888242976,374.307888242976
t1781,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1782,0.0,0.0,0.0,-0.0,0.0
t1783,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1784,0.0,0.0,0.0,4445.201152425236,4445.201152425236
t1785,0.0,0.0,0.0,1532.182249004468,1532.182249004468
t1786,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1787,0.0,0.0,0.0,-0.0,0.0
t1788,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1789,0.0,0.0,0.0,1296.8390555573824,1296.8390555573824
t1790,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1791,0.0,0.0,0.0,199.194478933613,199.194478933613
t1792,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1793,0.0,0.0,0.0,5183.710707253584,5183.710707253584
t1794,0.0,0.0,0.0,-0.0,0.0
t1795,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1796,0.0,0.0,0.0,2498.245659811358,2498.245659811358
t1797,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1798,0.0,0.0,0.0,2476.6071865731415,2476.6071865731415
t1799,0.0,0.0,0.0,2478.6190117189494,2478.6190117189494
t1800,0.0,0.0,0.0,5717.512874882641,5717.512874882641
t1801,0.0,0.0,0.0,4134.340956622926,4134.340956622926
t1802,0.0,0.0,0.0,4813.766088268416,4813.766088268416
t1803,0.0,0.0,0.0,3967.8000588670857,3967.8000588670857
t1804,0.0,0.0,0.0,7561.878398141362,7561.878398141362
t1805,0.0,0.0,0.0,5138.120696428501,5138.120696428501
t1806,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1807,0.0,0.0,0.0,1610.938369727614,1610.938369727614
t1808,0.0,0.0,0.0,366.4702520315739,366.4702520315739
t1809,0.0,0.0,0.0,4609.97788344249,4609.97788344249
t1810,0.0,0.0,0.0,4541.0773207393195,4541.0773207393195
t1811,0.0,0.0,0.0,4668.745248852791,4668.745248852791
t1812,0.0,0.0,0.0,4421.986130814532,4421.986130814532
t1813,0.0,0.0,0.0,4700.193540163622,4700.193540163622
t1814,0.0,0.0,0.0,4627.1899051929795,4627.1899051929795
t1815,0.0,0.0,0.0,6308.170707713642,6308.170707713642
t1816,0.0,0.0,0.0,1159.594155789848,1159.594155789848
t1817,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1818,0.0,0.0,0.0,315.35856209685494,315.35856209685494
t1819,0.0,0.0,0.0,8176.043114326264,8176.043114326264
t1820,0.0,0.0,0.0,5397.379934252782,5397.379934252782
t1821,0.0,0.0,0.0,-0.0,0.0
t1822,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1823,0.0,0.0,0.0,1296.8390555573824,1296.8390555573824
t1824,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1825,0.0,0.0,0.0,199.194478933613,199.194478933613
t1826,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1827,0.0,0.0,0.0,1128.2408485879723,1128.2408485879723
t1828,0.0,0.0,0.0,7488.019547040183,7488.019547040183
t1829,0.0,0.0,0.0,5712.773753225344,5712.773753225344
t1830,0.0,0.0,0.0,-0.0,0.0
t1831,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1832,0.0,0.0,0.0,2506.075511037263,2506.075511037263
t1833,0.0,0.0,0.0,5112.583833263222,5112.583833263222
t1834,0.0,0.0,0.0,4115.671644811052,4115.671644811052
t1835,0.0,0.0,0.0,5578.2159486885175,5578.2159486885175
t1836,0.0,0.0,0.0,5220.20743858078,5220.20743858078
t1837,0.0,0.0,0.0,4028.174082379599,4028.174082379599
t1838,0.0,0.0,0.0,4530.620306578978,4530.620306578978
t1839,0.0,0.0,0.0,2990.141624229989,2990.141624229989
t1840,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t1841,0.0,0.0,0.0,4199.518177087246,4199.518177087246
t1842,0.0,0.0,0.0,2903.6155475358905,2903.6155475358905
t1843,0.0,0.0,0.0,2823.1384577336503,2823.1384577336503
t1844,0.0,0.0,0.0,5767.002031160674,5767.002031160674
t1845,0.0,0.0,0.0,7743.78943719835,7743.78943719835
t1846,0.0,0.0,0.0,6668.032501406802,6668.032501406802
t1847,0.0,0.0,0.0,6399.432328164139,6399.432328164139
t1848,0.0,0.0,0.0,0.0,0.0
