Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
Zone,1,1,1,1,1
t1,0.0,0.0,0.0,-549.206592420187,-35949.46055295518
t2,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t3,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t4,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t5,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t6,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t7,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t8,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t9,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t10,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t11,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t12,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t13,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t14,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t15,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t16,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t17,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t18,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t19,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t20,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t21,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t22,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t23,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t24,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t25,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t26,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t27,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t28,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t29,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t30,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t31,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t32,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t33,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t34,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t35,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t36,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t37,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t38,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t39,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t40,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t41,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t42,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t43,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t44,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t45,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t46,0.0,0.0,0.0,-549.2065924201888,-631.4000812832172
t47,0.0,0.0,0.0,-549.2065924201897,-631.4000812832182
t48,0.0,0.0,0.0,-549.2065924201897,-631.4000812832182
t49,0.0,0.0,0.0,-549.2065924201897,-631.4000812832182
t50,0.0,0.0,0.0,-549.2065924201897,-631.4000812832182
t51,0.0,0.0,0.0,-549.2065924201897,-631.4000812832182
t52,0.0,0.0,0.0,-549.2065924201888,-631.4000812832172
t53,0.0,0.0,0.0,-549.2065924201888,-631.4000812832172
t54,0.0,0.0,0.0,-549.2065924201888,-404.096052021259
t55,0.0,0.0,0.0,-41341.74163589845,-25638.26409289115
t56,0.0,0.0,0.0,-41341.74163589845,-25638.26409289115
t57,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t58,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t59,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t60,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t61,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t62,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t63,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t64,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t65,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t66,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t67,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t68,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t69,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t70,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t71,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t72,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t73,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t74,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t75,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t76,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t77,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t78,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t79,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t80,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
t81,0.0,0.0,0.0,-41341.74163589845,-35949.46055295518
