region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,5.566008928625939e6,0.0,2.7752273736496028e6,0.0,24642.57991775676,0.0,0.0,0.0,0.0,8.365878882193316e6,0.0,0.0,0.0,0.0,0.0,8.365878882193316e6,8.365878882193299e6,1.6763806343078613e-8
SD,solar_pv_sat,1,1,2,7.503769255374646e6,0.0,4.385381600142723e6,0.0,0.0,0.0,0.0,0.0,0.0,1.1889150855517376e7,0.0,0.0,0.0,0.0,0.0,1.1889150855517376e7,1.1889150855517369e7,7.450580596923828e-9
SD,hydro,1,1,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,battery,1,1,4,5.722285348373305e6,1.679187864127638e8,2.450620015773169e6,2.8145833970739037e7,385658.22326790926,0.0,455645.3488514992,0.0,4.746209973757759e6,2.09825039293526e8,0.0,0.0,0.0,0.0,0.0,2.09825039293526e8,2.0982503929352647e8,-4.76837158203125e-7
SD,pumped_hydro,1,1,5,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
