Region,Resource,Zone,Cluster,AnnualSum
SD,onshore_wind,1,1,9727.250593336932
SD,solar_pv_sat,1,1,1425.5682144216353
SD,solar_btm,1,1,-513585.6880433155
SD,solar_btm_curt,1,1,0.7918355669540871
SD,hydro,1,1,-1.8058003836766108e-9
SD,battery4,1,1,-8.03446181888247e8
SD,battery8,1,1,-4.3032330370734197e8
SD,pumped_hydro,1,1,-0.00021452386737226455
