BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t58,33.39918327051805,7.74837070948195,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.14755398
t59,34.322730204357384,7.085196315642609,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.40792652
t60,35.246277072928706,6.43656413707129,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.68284121
t61,36.16982400676805,5.988437673231953,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.15826168
t62,37.436002204151194,5.162450845848809,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.59845305
t63,38.702180401534335,4.283583388465662,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98576379
t64,39.96835859891748,3.4333596110825155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.40171821
t65,41.23453679630063,2.5653248436993756,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.79986164
t66,42.50071499368377,1.790271876316229,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.29098687
t67,43.76689319106691,1.1297936389330836,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.89668683
t68,45.033071388450054,0.4580557415499449,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.49112713
t69,46.01638191,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.01638191
t70,46.64210993,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.64210993
t71,47.25224832,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.25224832
t72,47.9302502,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.9302502
t73,48.89028215,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.89028215
t74,49.74448112,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.74448112
t75,50.41844524,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.41844524
t76,50.78864298098554,0.2574957990144604,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.04613878
t77,50.596869806013444,0.9419187639865569,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.53878857
t78,50.40509669630937,1.5518681036906337,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.9569648
t79,50.2133235866053,2.366729923394704,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.58005351
t80,50.27763491837687,2.817376001623129,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.09501092
t81,50.341946730227605,3.068397179772394,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.41034391
t82,50.40625806199918,3.3767061780008145,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.78296424
t83,50.470569459038785,3.6068251109612213,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.07739457
t84,50.5348812056215,3.8435537543785037,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.37843496
t85,50.59919260266109,4.546954387338907,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.14614699
t86,54.67394044828088,1.112955591719122,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.78689604
t87,55.99005778,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.99005778
t88,56.15972846,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.15972846
t89,56.18341315000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.18341315
t90,56.33621474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.33621474
t91,56.524270079999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.52427008
t92,56.69256475,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.69256475
t93,56.70838693,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.70838693
t94,56.69953147,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.69953147
t95,56.75300763,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.75300763
t96,56.71834941,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.71834941
t97,56.95029776,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.95029776
t98,57.10671549,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.10671549
t99,57.00049274,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.00049274
t100,75.89675384765306,0.0,-19.03244957765305,0.0,0.0,0.0,0.0,0.0,0.0,-56.86430427
t101,56.48459312,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.48459312
t102,56.02996776,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.02996776
t103,55.74411974,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.74411974
t104,55.4670197,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.4670197
t105,78.97346379300734,0.0,-23.880491973007327,0.0,0.0,0.0,0.0,0.0,0.0,-55.09297182
t106,79.9618672021272,0.0,-25.1468767521272,0.0,0.0,0.0,0.0,0.0,0.0,-54.81499045
t107,54.6373746,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.6373746
t108,54.56684206,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.56684206
t109,54.628511120000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.62851112
t110,54.719587170000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.71958717
t111,54.706223969999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.70622397
t112,54.66906448,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.66906448
t113,83.94487429562784,0.0,-29.33606466562783,0.0,0.0,0.0,0.0,0.0,0.0,-54.60880963
t114,54.61994366,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.61994366
t115,54.62226423,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.62226423
t116,54.562614890000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.56261489
t117,54.300256430000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.30025643
t118,54.28687764,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.28687764
t119,54.24448586,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.24448586
t120,54.2201616,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.2201616
t121,54.21875229,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.21875229
t122,54.20982726,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.20982726
t123,54.13171672,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.13171672
t124,54.02848787,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.02848787
t125,54.01434845,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.01434845
t126,53.9772941,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.9772941
t127,53.94773117,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.94773117
t128,53.87998556,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.87998556
t129,53.7514272,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.7514272
t130,53.68852901,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.68852901
t131,53.62176573,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.62176573
t132,53.57747675,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.57747675
t133,53.51732355,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.51732355
t134,53.49576833,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.49576833
t135,53.40590894000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.40590894
t136,53.31737157,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.31737157
t137,53.24912982000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.24912982
t138,90.44264282757133,0.0,-37.29744919757134,0.0,0.0,0.0,0.0,0.0,0.0,-53.14519363
t139,53.04037611999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.04037612
t140,53.015082340000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.01508234
t141,52.93161987,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.93161987
t142,52.83449656,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.83449656
t143,52.78682891,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.78682891
t144,52.69200935,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.69200935
t145,52.72630669,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.72630669
t146,52.6326513,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.6326513
t147,52.43499732,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.43499732
t148,52.37395166,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.37395166
t149,52.14856573,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.14856573
t150,93.16270083203824,0.0,-41.12450564203823,0.0,0.0,0.0,0.0,0.0,0.0,-52.03819519
t151,51.94853622000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.94853622
