Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,1,0
t12559,0.0,0.0,0.0,0.0,0.0,0.0,26.497049656439742,0.0,0.0,0.0,26.497049656439742
t12560,0.0,0.0,0.0,0.0,0.0,0.0,25.915338301978355,0.0,0.0,0.0,25.915338301978355
t12561,0.0,0.0,0.0,0.0,0.0,0.0,25.455809567802685,0.0,0.0,0.0,25.455809567802685
t12562,0.0,0.0,0.0,0.0,0.0,0.0,25.04772613548417,0.0,0.0,0.0,25.04772613548417
t12563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12566,0.0,0.0,0.0,0.0,0.0,0.0,23.327786786887195,0.0,0.0,0.0,23.327786786887195
t12567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12568,0.0,0.0,0.0,0.0,0.0,0.0,22.293050186323473,0.0,0.0,0.0,22.293050186323473
t12569,0.0,0.0,0.0,0.0,0.0,0.0,21.850653993302863,0.0,0.0,0.0,21.850653993302863
t12570,0.0,0.0,0.0,0.0,0.0,0.0,21.48971287474634,0.0,0.0,0.0,21.48971287474634
t12571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12574,0.0,0.0,0.0,0.0,0.0,0.0,20.051124216951,0.0,0.0,0.0,20.051124216951
t12575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12578,0.0,0.0,0.0,0.0,0.0,0.0,17.699256833729272,0.0,0.0,0.0,17.699256833729272
t12579,0.0,0.0,0.0,0.0,0.0,0.0,16.562611465744002,0.0,0.0,0.0,16.562611465744002
t12580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
