Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
t1770,19.292619402628375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.292619402628375
t1771,20.988803816415718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.988803816415718
t1772,22.78663734493503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.78663734493503
t1773,24.595046993454353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.595046993454353
t1774,26.39420253197367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39420253197367
t1775,28.115914910492982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.115914910492982
t1776,29.849525484280328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.849525484280328
t1777,31.48618815279965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.48618815279965
t1778,32.1261083218086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1261083218086
t1779,32.754130360817555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.754130360817555
t1780,33.380830455094525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.380830455094525
t1781,34.01654212410348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.01654212410348
t1782,34.69676165311244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.69676165311244
t1783,35.35274423212138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35274423212138
t1784,35.95217229113034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.95217229113034
t1785,36.56834587013929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.56834587013929
t1786,37.19818034441627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.19818034441627
