Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,290,40.93649664
,,,,,,,291,40.74509827
,,,,,,,292,40.6008518
,,,,,,,293,40.42796076
,,,,,,,294,40.2793067
,,,,,,,295,40.13197463
,,,,,,,296,39.95405918
,,,,,,,297,39.85590538
,,,,,,,298,39.74541277
,,,,,,,299,39.56627032
,,,,,,,300,39.4294324
,,,,,,,301,39.2842217
,,,,,,,302,39.19182181
,,,,,,,303,39.06284614
,,,,,,,304,38.95193802
,,,,,,,305,38.82047064
,,,,,,,306,38.7418839
,,,,,,,307,38.74085543
,,,,,,,308,38.72324406
,,,,,,,309,38.66068411
,,,,,,,310,38.58534469
,,,,,,,311,38.56480099
,,,,,,,312,38.49666469
,,,,,,,313,38.50652735
,,,,,,,314,38.38878681
,,,,,,,315,38.33450304
,,,,,,,316,38.28065992
,,,,,,,317,38.2484096
,,,,,,,318,38.24171826
,,,,,,,319,38.25661984
,,,,,,,320,38.26475232
,,,,,,,321,38.20149592
,,,,,,,322,38.15939178
,,,,,,,323,38.1484914
,,,,,,,324,38.09616787
,,,,,,,325,38.17031717
,,,,,,,326,38.23565051
,,,,,,,327,38.22122221
,,,,,,,328,38.30021637
,,,,,,,329,38.34846806
,,,,,,,330,38.33766968
,,,,,,,331,38.36829449
,,,,,,,332,38.36939344
,,,,,,,333,38.41808499
,,,,,,,334,38.46853923
,,,,,,,335,38.5038412
,,,,,,,336,38.5876171
,,,,,,,337,38.72427365
,,,,,,,338,38.90174238
,,,,,,,339,38.97961923
,,,,,,,340,39.09671589
,,,,,,,341,39.23657591
,,,,,,,342,39.36233442
,,,,,,,343,39.54802434
,,,,,,,344,39.7000196
,,,,,,,345,39.8846246
,,,,,,,346,40.01326427
,,,,,,,347,40.20929867
,,,,,,,348,40.44102751
,,,,,,,349,40.89265169
,,,,,,,350,41.27291167
,,,,,,,351,41.57032532
,,,,,,,352,41.87831511
,,,,,,,353,42.22886596
,,,,,,,354,42.53358694
,,,,,,,355,42.97271288
,,,,,,,356,43.46844265
,,,,,,,357,43.89895296
,,,,,,,358,44.37881855
,,,,,,,359,44.82943367
,,,,,,,360,45.38360672
,,,,,,,361,46.1290314
,,,,,,,362,46.8616049
,,,,,,,363,47.35048677
,,,,,,,364,47.80984362
,,,,,,,365,48.24212135
,,,,,,,366,48.53955345
,,,,,,,367,49.03881333
,,,,,,,368,49.4581449
,,,,,,,369,49.72720732
,,,,,,,370,50.00023581
,,,,,,,371,50.22327725
,,,,,,,372,50.47231834
,,,,,,,373,51.05142277
,,,,,,,374,51.5066489
,,,,,,,375,51.71025133
,,,,,,,376,51.91693844
,,,,,,,377,51.96441942
,,,,,,,378,52.02688324
,,,,,,,379,52.12548218
,,,,,,,380,52.13777897
,,,,,,,381,52.12804216
,,,,,,,382,52.15355912
,,,,,,,383,52.10788408
,,,,,,,384,52.19925806
,,,,,,,385,52.39595264
,,,,,,,386,52.60657303
,,,,,,,387,52.59817946
,,,,,,,388,52.57876907
,,,,,,,389,52.24797252
,,,,,,,390,52.02073389
,,,,,,,391,51.88691772
,,,,,,,392,51.79754395
,,,,,,,393,51.68040785
,,,,,,,394,51.58045797
,,,,,,,395,51.65887256
,,,,,,,396,51.84216707
,,,,,,,397,51.98536045
,,,,,,,398,52.04999619
,,,,,,,399,52.06659869
,,,,,,,400,52.13123443
,,,,,,,401,52.06481018
,,,,,,,402,52.07946957
,,,,,,,403,52.14128088
,,,,,,,404,52.15434241
,,,,,,,405,52.08808298
,,,,,,,406,52.07382286
,,,,,,,407,52.09356583
,,,,,,,408,52.05646208
,,,,,,,409,52.12820432
,,,,,,,410,52.07741544
,,,,,,,411,51.98123735
,,,,,,,412,51.98641382
,,,,,,,413,51.9092583
,,,,,,,414,51.89379688
,,,,,,,415,51.90301308
,,,,,,,416,51.77181071
,,,,,,,417,51.57582955
,,,,,,,418,51.52747352
,,,,,,,419,51.49684535
,,,,,,,420,51.45431905
,,,,,,,421,51.52152007
,,,,,,,422,51.55504883
,,,,,,,423,51.48061297
,,,,,,,424,51.51458242
,,,,,,,425,51.4899672
,,,,,,,426,51.43847098
,,,,,,,427,51.42487257
,,,,,,,428,51.33832539
,,,,,,,429,51.25971031
,,,,,,,430,51.22516243
,,,,,,,431,51.15634251
,,,,,,,432,51.04257406
,,,,,,,433,51.05880384
,,,,,,,434,50.95369098
,,,,,,,435,50.7719012
,,,,,,,436,50.71570293
,,,,,,,437,50.51190991
,,,,,,,438,50.42577634
,,,,,,,439,50.36960845
,,,,,,,440,50.30572417
,,,,,,,441,50.15238349
,,,,,,,442,50.08585517
,,,,,,,443,50.11454168
,,,,,,,444,50.18905809
,,,,,,,445,50.3829966
,,,,,,,446,50.36693406
,,,,,,,447,50.34866818
,,,,,,,448,50.30440267
,,,,,,,449,50.20057428
,,,,,,,450,50.12230488
,,,,,,,451,50.06386571
,,,,,,,452,50.03343553
,,,,,,,453,49.9849378
,,,,,,,454,49.90162698
,,,,,,,455,49.87339222
,,,,,,,456,49.7283794
,,,,,,,457,49.66621289
,,,,,,,458,49.5324169
,,,,,,,459,49.39773955
,,,,,,,460,49.2379439
,,,,,,,461,49.11011829
,,,,,,,462,48.98361468
,,,,,,,463,48.9417201
,,,,,,,464,48.83113429
,,,,,,,465,48.78092056
,,,,,,,466,48.64741981
,,,,,,,467,48.58746119
,,,,,,,468,48.60065412
,,,,,,,469,48.55920374
,,,,,,,470,48.61629901
,,,,,,,471,48.64607262
,,,,,,,472,48.62076224
,,,,,,,473,48.57785724
,,,,,,,474,48.53274889
,,,,,,,475,48.55858873
,,,,,,,476,48.49361913
,,,,,,,477,48.46434396
,,,,,,,478,48.52716924
,,,,,,,479,48.52412016
,,,,,,,480,48.50300354
,,,,,,,481,48.6898841
,,,,,,,482,48.82763277
,,,,,,,483,48.97022881
,,,,,,,484,49.19038316
,,,,,,,485,49.57661007
,,,,,,,486,49.98575194
,,,,,,,487,50.3918091
,,,,,,,488,50.88934845
,,,,,,,489,51.37278628
,,,,,,,490,51.92761299
,,,,,,,491,52.49613896
,,,,,,,492,53.0946306
,,,,,,,493,53.7618671
,,,,,,,494,54.26040399
