Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t66,0.0,0.0,0.0,0.0,11.777721152145483,0.0,0.0,11.777721152145483
t67,0.0,0.0,0.0,0.0,9.416893454691163,0.0,0.0,9.416893454691163
t68,0.0,0.0,0.0,0.0,7.039739250236845,0.0,-0.0,7.039739250236845
t69,0.0,0.0,0.0,0.0,4.562266041782551,0.0,-0.0,4.562266041782551
t70,0.0,0.0,0.0,0.0,2.2304790313281946,0.0,-0.0,2.2304790313281946
t71,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0,0.37080483452929996,0.0,-0.0,0.37080483452929996
t77,0.0,0.0,0.0,0.0,1.57573443769491,0.0,-0.0,1.57573443769491
t78,0.0,0.0,0.0,0.0,2.67267721189415,0.0,0.0,2.67267721189415
t79,0.0,0.0,0.0,0.0,4.066743082093397,0.0,0.0,4.066743082093397
t80,0.0,0.0,0.0,0.0,4.568586481050242,0.0,0.0,4.568586481050242
t81,0.0,0.0,0.0,0.0,4.780973005737104,0.0,0.0,4.780973005737104
t82,0.0,0.0,0.0,0.0,5.076427638693964,0.0,0.0,5.076427638693964
t83,0.0,0.0,0.0,0.0,5.258506604684472,0.0,-0.0,5.258506604684472
t84,0.0,0.0,0.0,0.0,5.4501690263377025,0.0,0.0,5.4501690263377025
t85,0.0,0.0,0.0,0.0,6.318506457328212,0.0,0.0,6.318506457328212
t86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
