Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
t172,0.0,0.0,-0.0,3674.8462682222107,-0.0
t173,0.0,0.0,-0.0,3906.6090576003166,-0.0
t174,0.0,0.0,-0.0,4136.3028197399535,-0.0
t175,0.0,0.0,-0.0,4363.807145436721,-0.0
t176,0.0,0.0,-0.0,4589.177434285514,-0.0
t177,0.0,0.0,-0.0,4812.46152604044,-0.0
t178,0.0,0.0,-0.0,5033.608337977498,-0.0
t179,0.0,0.0,-0.0,5252.674674353382,-0.0
t180,0.0,0.0,-0.0,5469.647967593399,-0.0
t181,0.0,0.0,-0.0,5684.462134141041,-0.0
t182,0.0,0.0,-0.0,5896.634274372109,-0.0
t183,0.0,0.0,-0.0,6106.138036091801,-0.0
t184,0.0,0.0,-0.0,6313.013961124118,-0.0
t185,0.0,0.0,-0.0,6517.250262270153,-0.0
t186,0.0,0.0,-0.0,6718.8736975116135,-0.0
t187,0.0,0.0,-0.0,6917.810075316099,-0.0
t188,0.0,0.0,-0.0,7101.63702895429,-0.0
t189,0.0,0.0,-0.0,7270.387803116295,-0.0
t190,0.0,0.0,-0.0,7424.008476792806,-0.0
t191,0.0,0.0,-0.0,7562.464381108623,-0.0
t192,0.0,0.0,-0.0,7685.735650920254,-0.0
t193,0.0,0.0,-0.0,7793.84661095159,-0.0
t194,0.0,0.0,-0.0,7881.837305212388,-0.0
t195,0.0,0.0,-0.0,7949.720706730539,-0.0
t196,0.0,0.0,-0.0,7997.418975541351,-0.0
t197,0.0,0.0,-0.0,8024.938654261624,-0.0
t198,0.0,0.0,-0.0,8032.2420386208505,-0.0
t199,0.0,0.0,-0.0,8016.9531939921735,-0.0
t200,0.0,0.0,-0.0,7994.901420079607,-0.0
t201,0.0,0.0,-0.0,7965.954515733941,-0.0
t202,0.0,0.0,-0.0,7930.0296150282975,-0.0
t203,0.0,0.0,-0.0,7887.089314853983,-0.0
t204,0.0,0.0,-0.0,7837.147985387872,-0.0
t205,0.0,0.0,-0.0,7780.196525377002,-0.0
t206,0.0,0.0,-0.0,7722.935488203089,-0.0
t207,0.0,0.0,-0.0,7665.302605007437,-0.0
t208,0.0,0.0,-0.0,7607.333321137871,-0.0
t209,0.0,0.0,-0.0,7549.070489344393,-0.0
t210,0.0,0.0,-0.0,7490.522252485697,-0.0
t211,0.0,0.0,-0.0,7431.59951817048,-0.0
t212,0.0,0.0,-0.0,7372.238111257437,-0.0
t213,0.0,0.0,-0.0,7312.476351040045,-0.0
t214,0.0,0.0,-0.0,7252.256279572654,-0.0
t215,0.0,0.0,-0.0,7191.515939974828,-0.0
t216,0.0,0.0,-0.0,7130.275928877002,-0.0
t217,0.0,0.0,-0.0,7068.283338866133,-0.0
t218,0.0,0.0,-0.0,7005.619636105263,-0.0
t219,0.0,0.0,-0.0,6942.448156627002,-0.0
t220,0.0,0.0,-0.0,6878.93415244222,-0.0
t221,0.0,0.0,-0.0,6815.345012724829,-0.0
t222,0.0,0.0,-0.0,6751.84790545309,-0.0
t223,0.0,0.0,-0.0,6688.30152820309,-0.0
t224,0.0,0.0,-0.0,6624.824377257438,-0.0
t225,0.0,0.0,-0.0,6561.410704757438,-0.0
t226,0.0,0.0,-0.0,6497.953216627003,-0.0
t227,0.0,0.0,-0.0,6434.648273094394,-0.0
t228,0.0,0.0,-0.0,6371.492042181351,-0.0
t229,0.0,0.0,-0.0,6308.5319440509165,-0.0
t230,0.0,0.0,-0.0,6245.790776800916,-0.0
t231,0.0,0.0,-0.0,6183.300632844394,-0.0
t232,0.0,0.0,-0.0,6120.949428224829,-0.0
t233,0.0,0.0,-0.0,6058.871310757438,-0.0
t234,0.0,0.0,-0.0,5996.97000320309,-0.0
t235,0.0,0.0,-0.0,5935.1707828878725,-0.0
t236,0.0,0.0,-0.0,5873.639017757438,-0.0
t237,0.0,0.0,-0.0,5812.280825485698,-0.0
t238,0.0,0.0,-0.0,5751.088063235698,-0.0
t239,0.0,0.0,-0.0,5690.094899735698,-0.0
t240,0.0,0.0,-0.0,5629.317620703089,-0.0
t241,0.0,0.0,-0.0,5568.7509572030895,-0.0
t242,0.0,0.0,-0.0,5508.373587844394,-0.0
t243,0.0,0.0,-0.0,5448.214252094394,-0.0
t244,0.0,0.0,-0.0,5388.271033974829,-0.0
t245,0.0,0.0,-0.0,5328.503113550916,-0.0
t246,0.0,0.0,-0.0,5268.938272333525,-0.0
t247,0.0,0.0,-0.0,5209.587527094394,-0.0
t248,0.0,0.0,-0.0,5150.462950355264,-0.0
t249,0.0,0.0,-0.0,5091.572205996568,-0.0
t250,0.0,0.0,-0.0,5032.955050268308,-0.0
t251,0.0,0.0,-0.0,4974.6124330835255,-0.0
t252,0.0,0.0,-0.0,4916.575009887873,-0.0
t253,0.0,0.0,-0.0,4858.834637811787,-0.0
t254,0.0,0.0,-0.0,4801.417222800917,-0.0
t255,0.0,0.0,-0.0,4744.283966572657,-0.0
t256,0.0,0.0,-0.0,4687.417625453092,-0.0
t257,0.0,0.0,-0.0,4630.890390627005,-0.0
t258,0.0,0.0,-0.0,4574.760699029179,-0.0
