Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
onshore_wind,1,0,0.0,255.01401980340157,255.01401980340157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv_sat,1,0,0.0,402.7255515077098,402.7255515077098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,1,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,0,0.0,803.224203862085,803.224203862085,0.0,0.0,8032.2420386208505,8032.2420386208505,0.0,0.0,0.0,0.0
pumped_hydro,1,0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,0,0.0,1460.9637751731964,1460.9637751731964,0.0,0.0,8032.2420386208505,8032.2420386208505,0.0,0.0,0.0,0.0
