Period_Index,Rep_Period,Rep_Period_Index
1,44,7
2,1,1
3,1,1
4,1,1
5,44,7
6,44,7
7,1,1
8,1,1
9,1,1
10,1,1
11,44,7
12,44,7
13,44,7
14,40,6
15,40,6
16,40,6
17,40,6
18,40,6
19,40,6
20,25,2
21,40,6
22,40,6
23,25,2
24,40,6
25,25,2
26,25,2
27,31,4
28,31,4
29,25,2
30,30,3
31,31,4
32,31,4
33,31,4
34,31,4
35,31,4
36,31,4
37,31,4
38,38,5
39,31,4
40,40,6
41,1,1
42,44,7
43,1,1
44,44,7
45,1,1
46,1,1
47,44,7
48,48,8
49,44,7
50,1,1
51,1,1
52,1,1
