Period_Index,Rep_Period,Rep_Period_Index
1,5,2
2,5,2
3,4,1
4,4,1
5,5,2
6,5,2
7,4,1
8,5,2
9,4,1
10,4,1
11,5,2
12,5,2
13,5,2
14,40,7
15,40,7
16,40,7
17,40,7
18,40,7
19,40,7
20,25,3
21,40,7
22,40,7
23,25,3
24,40,7
25,25,3
26,25,3
27,31,5
28,31,5
29,25,3
30,30,4
31,31,5
32,31,5
33,31,5
34,31,5
35,31,5
36,31,5
37,31,5
38,38,6
39,31,5
40,40,7
41,4,1
42,5,2
43,4,1
44,5,2
45,5,2
46,5,2
47,5,2
48,48,8
49,5,2
50,4,1
51,4,1
52,4,1
