Time_Index,solar_pv_sat,onshore_wind,battery,hydro,pumped_hydro
1,0,0.519415793,1,0.238323094,1
2,0,0.526650948,1,0.236431663,1
3,0,0.533886104,1,0.234540231,1
4,0,0.541121259,1,0.2326488,1
5,0,0.548356414,1,0.230757369,1
6,0,0.55559157,1,0.228865937,1
7,0,0.562826725,1,0.226974506,1
8,0,0.57006188,1,0.225083074,1
9,0,0.577297036,1,0.223191643,1
10,0,0.584532191,1,0.221300211,1
11,0,0.591767346,1,0.21940878,1
12,0,0.599002502,1,0.217517349,1
13,0,0.606237657,1,0.215625917,1
14,0,0.608778345,1,0.214334001,1
15,0,0.611319033,1,0.213042084,1
16,0,0.613859721,1,0.211750167,1
17,0,0.616400409,1,0.21045825,1
18,0,0.618941097,1,0.209166334,1
19,0,0.621481785,1,0.207874417,1
20,0,0.624022472,1,0.2065825,1
21,0,0.62656316,1,0.205290583,1
22,0,0.629103848,1,0.203998667,1
23,0,0.631644536,1,0.20270675,1
24,0,0.634185224,1,0.201414833,1
25,0,0.636725912,1,0.200122916,1
26,0,0.624791122,1,0.200334381,1
27,0,0.612856332,1,0.200545847,1
28,0,0.600921543,1,0.200757313,1
29,0,0.588986753,1,0.200968779,1
30,0,0.577051963,1,0.201180244,1
31,0,0.565117173,1,0.201391709,1
32,0,0.553182383,1,0.201603175,1
33,0,0.541247593,1,0.20181464,1
34,0,0.529312804,1,0.202026106,1
35,0,0.517378014,1,0.202237571,1
36,0,0.505443224,1,0.202449037,1
37,0,0.493508434,1,0.202660502,1
38,0,0.487244477,1,0.20367785,1
39,0,0.480980519,1,0.204695198,1
40,0,0.474716561,1,0.205712546,1
41,0,0.468452604,1,0.206729894,1
42,0,0.462188647,1,0.207747242,1
43,0,0.455924689,1,0.20876459,1
44,0,0.449660731,1,0.209781938,1
45,0,0.443396774,1,0.210799286,1
46,0,0.437132817,1,0.211816634,1
47,0,0.430868859,1,0.212833982,1
48,0,0.424604901,1,0.21385133,1
49,0,0.418340944,1,0.214868678,1
50,0,0.418732348,1,0.218250069,1
51,0,0.419123752,1,0.22163146,1
52,0,0.419515155,1,0.225012852,1
53,0,0.419906559,1,0.228394244,1
54,0,0.420297963,1,0.231775635,1
55,0,0.420689367,1,0.235157027,1
56,0,0.42108077,1,0.238538418,1
57,0,0.421472174,1,0.24191981,1
58,0,0.421863578,1,0.245301201,1
59,0,0.422254982,1,0.248682593,1
60,0,0.422646385,1,0.252063984,1
61,0,0.423037789,1,0.255445375,1
62,0,0.429888361,1,0.261704508,1
63,0,0.436738933,1,0.26796364,1
64,0,0.443589505,1,0.274222773,1
65,0,0.450440077,1,0.280481905,1
66,0,0.457290649,1,0.286741037,1
67,0,0.464141222,1,0.293000169,1
68,0,0.470991794,1,0.299259302,1
69,0,0.477842366,1,0.305518434,1
70,0,0.484692938,1,0.311777567,1
71,0,0.49154351,1,0.318036699,1
72,0,0.498394082,1,0.324295831,1
