Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SD,onshore_wind,1,1,2.027450858381123e8,2.027450858381123e8
SD,solar_pv_sat,1,1,3.380342920668656e8,3.380342920668656e8
SD,solar_btm,1,1,1.653819400118679e6,1.653819400118679e6
SD,solar_btm_curt,1,1,418219.0448135681,418219.0448135681
SD,hydro,1,1,2.5737621526097047e-11,2.5737621526097047e-11
SD,battery4,1,1,-1.3371770342096391e8,-1.3371770342096391e8
SD,battery8,1,1,1.0637059831047746e9,1.0637059831047746e9
SD,pumped_hydro,1,1,-8.057719538106382e-7,-8.057719538106382e-7
